Наименование;Артикул;Цена;Документы;Характеристики;Количество
Выключатель автоматический ВА21-29-120010-2,5А-3Iн-400AC-У3-АЭС-КЭАЗ;102923;12452.54;"Сайт https://keaz.ru/catalog/product/102923
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-20А-1,5Iн-400AC-У3-АЭС-КЭАЗ;129867;12452.54;"Сайт https://keaz.ru/catalog/product/129867
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-20А-12Iн-400AC-У3-АЭС-КЭАЗ;102281;12452.54;"Сайт https://keaz.ru/catalog/product/102281
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-20А-3Iн-400AC-У3-АЭС-КЭАЗ;102890;12452.54;"Сайт https://keaz.ru/catalog/product/102890
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-25А-1,5Iн-400AC-У3-АЭС-КЭАЗ;137741;12452.54;"Сайт https://keaz.ru/catalog/product/137741
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-25А-12Iн-400AC-У3-АЭС-КЭАЗ;101811;12452.54;"Сайт https://keaz.ru/catalog/product/101811
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-25А-3Iн-400AC-У3-АЭС-КЭАЗ;102565;12452.54;"Сайт https://keaz.ru/catalog/product/102565
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-2А-1,5Iн-400AC-З/П-У3-АЭС-КЭАЗ;102391;12452.54;"Сайт https://keaz.ru/catalog/product/102391
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-2А-1,5Iн-400AC-У3-АЭС-КЭАЗ;118307;12452.54;"Сайт https://keaz.ru/catalog/product/118307
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-2А-12Iн-400AC-З/П-У3-АЭС-КЭАЗ;102007;12452.54;"Сайт https://keaz.ru/catalog/product/102007
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-2А-12Iн-400AC-У3-АЭС-КЭАЗ;101142;12452.54;"Сайт https://keaz.ru/catalog/product/101142
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-2А-3Iн-400AC-У3-АЭС-КЭАЗ;102640;12452.54;"Сайт https://keaz.ru/catalog/product/102640
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-3,15А-12Iн-400AC-У3-АЭС-КЭАЗ;101226;12452.54;"Сайт https://keaz.ru/catalog/product/101226
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-3,15А-3Iн-400AC-У3-АЭС-КЭАЗ;100456;12452.54;"Сайт https://keaz.ru/catalog/product/100456
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-31,5А-12Iн-400AC-У3-АЭС-КЭАЗ;101059;12452.54;"Сайт https://keaz.ru/catalog/product/101059
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-40А-1,5Iн-400AC-У3-АЭС-КЭАЗ;102021;12452.54;"Сайт https://keaz.ru/catalog/product/102021
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-40А-12Iн-400AC-У3-АЭС-КЭАЗ;100192;12452.54;"Сайт https://keaz.ru/catalog/product/100192
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-40А-3Iн-400AC-У3-АЭС-КЭАЗ;100406;12452.54;"Сайт https://keaz.ru/catalog/product/100406
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-4А-1,5Iн-240DC-У3-АЭС-КЭАЗ;103037;18644.04;"Сайт https://keaz.ru/catalog/product/103037
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-120010-4А-1,5Iн-400AC-У3-АЭС-КЭАЗ;101354;12452.54;"Сайт https://keaz.ru/catalog/product/101354
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-4А-12Iн-400AC-У3-АЭС-КЭАЗ;100834;12452.54;"Сайт https://keaz.ru/catalog/product/100834
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-4А-3Iн-400AC-У3-АЭС-КЭАЗ;102060;12452.54;"Сайт https://keaz.ru/catalog/product/102060
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-5А-1,5Iн-400AC-У3-АЭС-КЭАЗ;101940;12452.54;"Сайт https://keaz.ru/catalog/product/101940
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-5А-12Iн-400AC-З/П-У3-АЭС-КЭАЗ;102103;12452.54;"Сайт https://keaz.ru/catalog/product/102103
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-5А-12Iн-400AC-У3-АЭС-КЭАЗ;101406;12452.54;"Сайт https://keaz.ru/catalog/product/101406
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-5А-3Iн-400AC-У3-АЭС-КЭАЗ;101763;12452.54;"Сайт https://keaz.ru/catalog/product/101763
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-6,3А-1,5Iн-240DC-У3-АЭС-КЭАЗ;102464;18644.04;"Сайт https://keaz.ru/catalog/product/102464
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-120010-6,3А-1,5Iн-400AC-З/П-У3-АЭС-КЭАЗ;102380;12452.54;"Сайт https://keaz.ru/catalog/product/102380
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-6,3А-1,5Iн-400AC-У3-АЭС-КЭАЗ;102964;12452.54;"Сайт https://keaz.ru/catalog/product/102964
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-6,3А-12Iн-400AC-У3-АЭС-КЭАЗ;100987;12452.54;"Сайт https://keaz.ru/catalog/product/100987
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-6,3А-3Iн-400AC-З/П-У3-АЭС-КЭАЗ;102485;12452.54;"Сайт https://keaz.ru/catalog/product/102485
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-6,3А-3Iн-400AC-У3-АЭС-КЭАЗ;102092;12452.54;"Сайт https://keaz.ru/catalog/product/102092
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-63А-3Iн-400AC-У3-АЭС-КЭАЗ;102603;12452.54;"Сайт https://keaz.ru/catalog/product/102603
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-120010-8А-3Iн-400AC-У3-АЭС-КЭАЗ;101894;12452.54;"Сайт https://keaz.ru/catalog/product/101894
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-0,6А-12Iн-400AC-У3-АЭС-КЭАЗ;102054;13775.02;"Сайт https://keaz.ru/catalog/product/102054
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-0,6А-6Iн-400AC-У3-АЭС-КЭАЗ;103052;13775.02;"Сайт https://keaz.ru/catalog/product/103052
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-1,6А-12Iн-400AC-У3-АЭС-КЭАЗ;103045;13775.02;"Сайт https://keaz.ru/catalog/product/103045
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-1,6А-6Iн-400AC-У3-АЭС-КЭАЗ;102978;13775.02;"Сайт https://keaz.ru/catalog/product/102978
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-10А-12Iн-400AC-У3-АЭС-КЭАЗ;100612;13775.02;"Сайт https://keaz.ru/catalog/product/100612
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-10А-6Iн-400AC-У3-АЭС-КЭАЗ;102247;13775.02;"Сайт https://keaz.ru/catalog/product/102247
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-12,5А-6Iн-400AC-У3-АЭС-КЭАЗ;100415;13775.02;"Сайт https://keaz.ru/catalog/product/100415
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-16А-12Iн-400AC-У3-АЭС-КЭАЗ;100934;13775.02;"Сайт https://keaz.ru/catalog/product/100934
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-16А-6Iн-400AC-У3-АЭС-КЭАЗ;102307;13775.02;"Сайт https://keaz.ru/catalog/product/102307
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-1А-12Iн-400AC-У3-АЭС-КЭАЗ;101598;13775.02;"Сайт https://keaz.ru/catalog/product/101598
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-1А-6Iн-400AC-У3-АЭС-КЭАЗ;103304;13775.02;"Сайт https://keaz.ru/catalog/product/103304
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-2,5А-12Iн-400AC-У3-АЭС-КЭАЗ;100320;13775.02;"Сайт https://keaz.ru/catalog/product/100320
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-2,5А-6Iн-400AC-У3-АЭС-КЭАЗ;101506;13775.02;"Сайт https://keaz.ru/catalog/product/101506
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-20А-12Iн-400AC-У3-АЭС-КЭАЗ;102300;13775.02;"Сайт https://keaz.ru/catalog/product/102300
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-20А-6Iн-400AC-У3-АЭС-КЭАЗ;101086;13775.02;"Сайт https://keaz.ru/catalog/product/101086
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-25А-12Iн-400AC-У3-АЭС-КЭАЗ;102500;13775.02;"Сайт https://keaz.ru/catalog/product/102500
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-25А-6Iн-400AC-У3-АЭС-КЭАЗ;100792;13775.02;"Сайт https://keaz.ru/catalog/product/100792
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-2А-12Iн-400AC-У3-АЭС-КЭАЗ;101918;13775.02;"Сайт https://keaz.ru/catalog/product/101918
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-2А-6Iн-240DC-У3-АЭС-КЭАЗ;100944;20683.88;"Сайт https://keaz.ru/catalog/product/100944
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-140010-2А-6Iн-400AC-У3-АЭС-КЭАЗ;101320;13775.02;"Сайт https://keaz.ru/catalog/product/101320
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-3,15А-12Iн-400AC-У3-АЭС-КЭАЗ;100311;13775.02;"Сайт https://keaz.ru/catalog/product/100311
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-3,15А-6Iн-400AC-У3-АЭС-КЭАЗ;100287;13775.02;"Сайт https://keaz.ru/catalog/product/100287
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-31,5А-12Iн-400AC-У3-АЭС-КЭАЗ;100656;13775.02;"Сайт https://keaz.ru/catalog/product/100656
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-31,5А-6Iн-400AC-У3-АЭС-КЭАЗ;101942;13775.02;"Сайт https://keaz.ru/catalog/product/101942
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-40А-12Iн-400AC-У3-АЭС-КЭАЗ;222629;13775.02;"Сайт https://keaz.ru/catalog/product/222629
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-40А-6Iн-240DC-У3-АЭС-КЭАЗ;102588;20683.88;"Сайт https://keaz.ru/catalog/product/102588
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
