Наименование;Артикул;Замена;АЗамена
Выключатель автоматический АП50Б-3МТ-2,5А-3,5Iн-400AC-IP54Ф-У2-КЭАЗ;107496;;
Выключатель автоматический АП50Б-3МТ-25А-3,5Iн-400AC-IP54Ф-У2-КЭАЗ;107497;;
Выключатель автоматический АП50Б-3МТ-4А-3,5Iн-400AC-IP54Ф-У2-КЭАЗ;107498;;
Выключатель автоматический ВА13-25-3212-10А-7Iн-1000AC-НР220..230AC/220DC-О5-КЭАЗ;107644;;
Выключатель автоматический ВА13-25-3212-3,15А-7Iн-1000AC-НР220..230AC/220DC-О5-КЭАЗ;107645;;
Выключатель автоматический ВА51-35М2-341230-200А-2500-690AC-НР220..240AC/220DC-ПЭ230AC-УХЛ3-КЭАЗ;108375;;
Выключатель автоматический ВА57-31-801810-100А-220DC-НР110DC-УХЛ3-КЭАЗ;108495;;
Выключатель автоматический ВА57-31-801810-16А-220DC-НР110DC-УХЛ3-КЭАЗ;108496;;
Выключатель автоматический ВА57-31-801810-25А-220DC-НР110DC-УХЛ3-КЭАЗ;108497;;
Выключатель автоматический ВА57-31-801810-16А-220DC-НР230AC/220DC-УХЛ3 -КЭАЗ;108499;;
Выключатель автоматический ВА57-31-801810-25А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;108501;;
Выключатель автоматический ВА57-31-801810-31,5А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;108502;;
Выключатель автоматический ВА57-31-801810-40А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;108503;;
Выключатель автоматический ВА57-31-821810-100А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;108504;;
Выключатель автоматический ВА57-31-821810-63А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;108507;;
Выключатель автоматический ВА57-31-840010-50А-1000-220DC-УХЛ3-КЭАЗ;108510;;
Выключатель автоматический ВА57-31-841110-40А-500-220DC-УХЛ3-КЭАЗ;108524;;
Выключатель автоматический ВА57-35-330015-250А-2500-690AC-УХЛ3-КЭАЗ;108540;;
Выключатель автоматический ВА57-35-331115-80А-1250-690AC-УХЛ3-КЭАЗ;108546;;
Выключатель автоматический ВА57-35-331810-250А-2500-690AC-НР24DC-УХЛ3-КЭАЗ;108553;;
Выключатель автоматический ВА57-35-331810-250А-2500-690AC-НР400AC-УХЛ3-КЭАЗ;108554;;
Выключатель автоматический ВА57-35-332310-80А-1250-690AC-РМН230AC/220DC-УХЛ3-КЭАЗ;108555;;
Выключатель автоматический ВА57-35-334510-80А-1000-690AC-УХЛ3-КЭАЗ;108558;;
Выключатель автоматический ВА57-35-334510-250А-1600-690AC-УХЛ3-КЭАЗ;108559;;
Выключатель автоматический ВА57-35-334510-250А-500-690AC-УХЛ3-КЭАЗ;108560;;
Выключатель автоматический ВА57-35-334510-250А-750-690AC-УХЛ3-КЭАЗ;108561;;
Выключатель автоматический ВА57-35-334710-250А-2500-690AC-НР24DC-УХЛ3-КЭАЗ;108562;;
Выключатель автоматический ВА57-35-340015-100А-1000-690AC-УХЛ3-КЭАЗ;108627;;
Выключатель автоматический ВА57-35-340015-160А-1000-690AC-УХЛ3-КЭАЗ;108628;;
Выключатель автоматический ВА57-35-340015-250А-1000-690AC-УХЛ3-КЭАЗ;108629;;
