110571;Контактор ПМЛ-2100-25А-24AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110572;Контактор ПМЛ-2100-25А-36AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110573;Контактор ПМЛ-2100-25А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110574;Контактор ПМЛ-2100-25А-42AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110575;Контактор ПМЛ-2100-25А-48AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110576;Контактор ПМЛ-2160ДМ-32А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 15
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 50
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 100"
110577;Контактор ПМЛ-2160ДМ-32А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 15
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 50
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 100"
110578;Контактор ПМЛ-2160ДМ-32А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 15
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 50
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 100"
110579;Контактор ПМЛ-2160М-25А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110580;Контактор ПМЛ-2160М-25А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110581;Контактор ПМЛ-2160М-25А-24AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110582;Контактор ПМЛ-2160М-25А-36AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110583;Контактор ПМЛ-2160М-25А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110584;Контактор ПМЛ-2160М-25А-42AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110585;Контактор ПМЛ-2500-25А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 105"
110586;Контактор ПМЛ-2500-25А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 105"
110587;Контактор ПМЛ-2500-25А-24AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 105"
110588;Контактор ПМЛ-2500-25А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 105"
110589;Контактор ПМЛ-2500-25А-42AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 105"
110590;Контактор ПМЛ-2560ДМ-32А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 15
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 50
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 107"
110591;Контактор ПМЛ-2560ДМ-32А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 15
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 50
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 107"
110592;Контактор ПМЛ-2560М-25А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 129
148 | Габариты изделия: Высота (мм) = 90
149 | Габариты изделия: Глубина (мм) = 105"
