Наименование;Артикул
Выключатель АК50Б-2МГОМ3, постоянный, 25А, 6Iн, условие - 01, ТУ16-522.136-78;105011
Выключатель АК50Б-2МГОМ3, постоянный, 31,5А, 6Iн, ТУ16-522.136-78;105015
Выключатель АК50Б-2МГОМ3, постоянный, 31,5А, 6Iн, условие - 01, ТУ16-522.136-78;105016
Выключатель АК50Б-2МГОМ3, постоянный, 4А, 6Iн, ТУ16-522.136-78;105024
Выключатель АК50Б-2МГОМ3, постоянный, 4А, 6Iн, условие - 01, ТУ16-522.136-78;105023
Выключатель АК50Б-2МГОМ3, постоянный, 40А, 6Iн, ТУ16-522.136-78;105031
Выключатель АК50Б-2МГОМ3, постоянный, 40А, 6Iн, условие - 01, ТУ16-522.136-78;105030
Выключатель АК50Б-2МГОМ3, постоянный, 5А, 6Iн, ТУ16-522.136-78;105032
Выключатель АК50Б-2МГОМ3, постоянный, 5А, 6Iн, условие - 01, ТУ16-522.136-78;105033
Выключатель АК50Б-2МГОМ3, постоянный, 50А, 6Iн, ТУ16-522.136-78;105041
Выключатель АК50Б-2МГОМ3, постоянный, 50А, 6Iн, условие - 01, ТУ16-522.136-78;105040
Выключатель АК50Б-2МГОМ3, постоянный, 6,3А, 6Iн, ТУ16-522.136-78;105042
Выключатель АК50Б-2МГОМ3, постоянный, 6,3А, 6Iн, условие - 01, ТУ16-522.136-78;105047
Выключатель АК50Б-2МГОМ3, постоянный, 8А, 6Iн, ТУ16-522.136-78;105050
Выключатель АК50Б-2МГОМ3, постоянный, 8А, 6Iн, условие - 01, ТУ16-522.136-78;105049
Выключатель АК50Б-2МГОМ2, постоянный, 10А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;365710
Выключатель АК50Б-2МГОМ2, постоянный, 4А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;289057
Выключатель АК50Б-2МГОМ2, постоянный, 10А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;105055
Выключатель АК50Б-2МГОМ2, постоянный, 4А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;289067
Выключатель АК50Б-2МГОМ2, постоянный, 50А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;288864
Выключатель АК50Б-3МОМ3, 50Гц, 31,5А, 12Iн, ТУ16-522.136-78;105057
Выключатель АК50Б-3МОМ3, 50Гц, 31,5А, 12Iн, условие - 01, ТУ16-522.136-78;105058
Выключатель АК50Б-3МОМ3, 50Гц, 40А, 12Iн, ТУ16-522.136-78;105063
Выключатель АК50Б-3МОМ3, 50Гц, 40А, 12Iн, условие - 01, ТУ16-522.136-78;223114
Выключатель АК50Б-3МОМ3, 50Гц, 50А, 12Iн, ТУ16-522.136-78;105064
Выключатель АК50Б-3МОМ3, 50Гц, 50А, 12Iн, условие - 01, ТУ16-522.136-78;105065
Выключатель АК50Б-3МОМ3, 50Гц, 1А, 6Iн, ТУ16-522.136-78;105080
Выключатель АК50Б-3МОМ3, 50Гц, 1А, 6Iн, условие - 01, ТУ16-522.136-78;105081
Выключатель АК50Б-3МОМ3, 50Гц, 10А, 6Iн, ТУ16-522.136-78;105085
Выключатель АК50Б-3МОМ3, 50Гц, 10А, 6Iн, условие - 01, ТУ16-522.136-78;105084
Выключатель АК50Б-3МОМ3, 50Гц, 16А, 6Iн, ТУ16-522.136-78;105092
Выключатель АК50Б-3МОМ3, 50Гц, 16А, 6Iн, условие - 01, ТУ16-522.136-78;105091
Выключатель АК50Б-3МОМ3, 50Гц, 2А, 6Iн, ТУ16-522.136-78;105099
Выключатель АК50Б-3МОМ3, 50Гц, 2А, 6Iн, условие - 01, ТУ16-522.136-78;105098
Выключатель АК50Б-3МОМ3, 50Гц, 20А, 6Iн, ТУ16-522.136-78;105104
Выключатель АК50Б-3МОМ3, 50Гц, 20А, 6Iн, условие - 01, ТУ16-522.136-78;105103
Выключатель АК50Б-3МОМ3, 50Гц, 25А, 6Iн, ТУ16-522.136-78;105109
